Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:30:18,bed to toilet,0.0000,0.0000,0.0000,0.1245,0.9938,4.6587,0.9296,1.2022,0.9527,114.2143,ESE
22/11/2025,16:30:19,bed to toilet,0.0000,0.0000,0.0000,0.9267,2.6220,4.7647,0.9288,1.2002,0.9616,114.2476,ESE
22/11/2025,16:30:20,bed to toilet,0.0000,0.0000,0.0000,2.6134,3.6967,8.1747,0.9129,1.1887,0.9555,112.7351,ESE
22/11/2025,16:30:21,bed to toilet,0.0000,0.0000,0.0000,-2.7998,3.7387,9.0277,0.9293,1.1009,0.9478,115.3643,ESE
22/11/2025,16:30:22,bed to toilet,0.0000,0.0000,0.0000,-6.7580,16.3037,3.7013,0.9233,1.1436,0.9093,112.7100,ESE
22/11/2025,16:30:23,bed to toilet,0.0000,0.0000,0.0000,-0.1367,-6.5978,-2.4843,0.9399,1.1650,0.8888,111.1421,ESE
22/11/2025,16:30:24,bed to toilet,0.0000,0.0000,0.0000,4.9317,4.0202,12.9963,0.9144,1.1278,0.9141,115.4351,ESE
22/11/2025,16:30:25,bed to toilet,0.0000,0.0000,0.0000,-4.8800,13.3364,5.4615,0.9281,1.1190,0.9051,110.4000,ESE
22/11/2025,16:30:26,bed to toilet,0.3607,0.0000,0.0000,-5.3574,-0.0489,-8.7453,0.9223,1.0710,0.8979,114.2000,ESE
22/11/2025,16:30:27,bed to toilet,0.1226,0.0000,0.0000,-1.6699,-7.1792,9.1380,0.9335,1.0699,0.8976,114.0425,ESE
22/11/2025,16:30:28,bed to toilet,0.2935,0.0000,0.0000,4.5583,-7.3662,6.0496,0.9401,1.0635,0.9001,110.6083,ESE
22/11/2025,16:30:29,bed to toilet,0.0000,0.0000,0.0000,-0.4650,-17.6787,5.6389,0.9329,1.0877,0.9080,112.2941,ESE
22/11/2025,16:30:30,bed to toilet,0.0000,0.0000,0.0000,-3.0074,-9.4138,5.8849,0.9272,1.0896,0.9044,112.3143,ESE
