Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:58:35,bed to toilet,0.0000,0.0000,0.0000,22.8135,-1.0476,2.3666,1.0314,1.0102,0.9841,116.0857,ESE
22/11/2025,16:58:36,bed to toilet,0.0000,0.0000,0.0000,13.9122,-9.0839,-1.8719,1.0254,0.9790,1.0030,116.9625,ESE
22/11/2025,16:58:37,bed to toilet,0.0000,0.0000,0.0000,14.8988,6.3778,5.9658,1.0297,0.9571,1.0034,117.5121,ESE
22/11/2025,16:58:38,bed to toilet,0.0000,0.0000,0.0000,22.4694,-5.0275,-5.3636,0.9854,0.9571,0.9806,110.7425,ESE
22/11/2025,16:58:39,bed to toilet,0.0000,0.1524,0.0862,-7.2778,-4.1310,1.6450,0.9818,0.8746,1.0027,113.9854,ESE
22/11/2025,16:58:40,bed to toilet,0.0000,0.2576,0.1836,22.8884,-15.5995,-15.3910,1.0179,0.9246,0.9564,122.2900,ESE
22/11/2025,16:58:41,bed to toilet,0.0000,0.2232,0.0000,20.1808,-1.2797,-14.6180,0.9604,0.9404,0.9215,107.0457,ESE
22/11/2025,16:58:42,bed to toilet,0.1297,0.0000,0.0000,-2.1670,-7.2127,0.0465,0.9752,0.8625,0.9420,114.5372,ESE
22/11/2025,16:58:43,bed to toilet,0.2385,0.0000,0.0000,24.1343,-22.7898,-22.0780,1.0110,0.9101,0.9311,120.2000,ESE
22/11/2025,16:58:44,bed to toilet,0.0000,0.0000,0.0000,9.7966,-1.4558,-7.2812,0.9679,0.9556,0.9537,107.6486,ESE
22/11/2025,16:58:45,bed to toilet,0.3207,0.0000,0.2146,2.4141,-18.7741,-6.4728,1.0036,0.8379,0.9734,123.1550,ESE
22/11/2025,16:58:46,bed to toilet,0.1231,0.0000,0.0857,23.0803,-19.8523,-18.1041,1.0039,0.8946,0.9414,113.3833,ESE
22/11/2025,16:58:47,bed to toilet,0.0000,0.0000,0.0814,2.4569,16.6537,5.8017,0.9677,0.7905,1.0091,115.5121,ESE
22/11/2025,16:58:48,bed to toilet,0.0000,0.0000,0.2302,14.8629,-32.5708,-16.1648,0.9849,0.7192,1.0422,126.1743,SE (ตอ.เฉียงใต้)
22/11/2025,16:58:49,bed to toilet,0.0000,0.2550,-0.1734,24.4690,-24.2590,-22.2257,0.9670,0.8564,0.9438,110.2459,ESE
22/11/2025,16:58:50,bed to toilet,0.0000,0.1530,-0.1540,-10.7603,32.3823,23.5158,0.9560,0.8100,0.9572,106.4500,ESE
22/11/2025,16:58:51,bed to toilet,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
22/11/2025,16:58:52,bed to toilet,0.3421,0.0000,0.0000,10.6756,-16.4772,-13.5385,0.9854,0.7768,0.9938,118.5109,ESE
22/11/2025,16:58:53,bed to toilet,0.3531,0.0000,0.3625,11.9997,10.7086,-14.4375,1.0440,0.8476,0.9471,117.2000,ESE
