Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:37:19,bed to toilet,0.0000,0.0000,0.0000,1.3376,-1.4946,8.5592,0.9911,1.0151,0.9969,116.7852,ESE
22/11/2025,16:37:20,bed to toilet,0.0000,0.0000,0.0000,-1.3193,-2.0737,10.1019,0.9916,1.0189,0.9906,117.4938,ESE
22/11/2025,16:37:21,bed to toilet,0.0000,0.0000,0.0000,3.3113,8.2535,12.5587,1.0000,0.9782,1.0025,114.4879,ESE
22/11/2025,16:37:22,bed to toilet,0.0000,0.0000,0.0000,3.8905,-12.9340,8.7439,1.0003,0.9769,0.9778,119.5879,ESE
22/11/2025,16:37:23,bed to toilet,0.0000,0.0000,0.0000,-4.5361,0.6074,7.5609,0.9933,0.9783,0.9703,117.3135,ESE
22/11/2025,16:37:24,bed to toilet,0.0000,0.0000,0.0000,3.4348,3.0915,15.4398,0.9889,0.9582,0.9422,115.2906,ESE
22/11/2025,16:37:25,bed to toilet,0.2661,0.0000,0.0000,2.1678,-8.1568,5.0509,1.0003,0.9292,0.9275,118.0811,ESE
22/11/2025,16:37:26,bed to toilet,0.0000,0.0000,0.0000,-1.5048,-0.7307,8.7253,1.0112,0.9444,0.9256,117.4256,ESE
22/11/2025,16:37:27,bed to toilet,0.0000,0.1367,0.0000,0.9007,1.6229,7.4330,0.9986,0.9513,0.9360,116.3054,ESE
22/11/2025,16:37:28,bed to toilet,0.0000,0.2130,0.0000,5.1465,-5.7630,15.5322,0.9992,0.9144,0.9466,115.5821,ESE
22/11/2025,16:37:29,bed to toilet,0.0000,0.0000,0.0000,6.9601,4.3864,11.8374,1.0021,0.8853,0.9448,117.9829,ESE
22/11/2025,16:37:30,bed to toilet,0.0000,0.0000,0.0000,-2.4645,1.1916,1.9888,0.9875,0.8664,0.9429,115.5800,ESE
22/11/2025,16:37:31,bed to toilet,0.0000,0.0000,0.0000,0.9034,3.0002,14.4647,0.9929,0.8410,0.9465,114.4421,ESE
22/11/2025,16:37:32,bed to toilet,0.0000,0.0000,0.0000,6.1554,-0.8411,7.9310,1.0057,0.8172,0.9563,118.2571,ESE
22/11/2025,16:37:33,bed to toilet,0.0692,0.0000,0.0499,-1.3037,-7.4639,8.7130,1.0015,0.8075,0.9697,117.0704,ESE
22/11/2025,16:37:34,bed to toilet,0.3739,0.0000,0.3371,-2.7153,7.5163,-1.1592,1.0130,0.8084,0.9683,118.0000,ESE
22/11/2025,16:37:35,bed to toilet,0.4256,0.0000,0.5585,7.3848,-14.8864,2.5829,1.0155,0.7885,0.9767,114.6986,ESE
22/11/2025,16:37:36,bed to toilet,0.8275,0.0000,1.1074,0.5628,-10.8602,4.3826,0.9940,0.8310,0.9518,111.6421,ESE
