Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,17:03:12,bed to toilet,0.0000,0.0000,0.0000,-2.7855,-23.0418,-0.8691,1.0111,1.0181,1.0185,49.1889,NE (ตอ.เฉียงเหนือ)
22/11/2025,17:03:13,bed to toilet,-0.4404,0.8145,0.0957,93.2200,43.0486,156.5147,1.0494,0.9516,0.9544,88.8907,E (ตะวันออก)
22/11/2025,17:03:14,bed to toilet,-0.0838,0.7074,-0.1942,-10.1006,-52.6887,11.3582,1.0418,0.7236,0.8391,116.2698,ESE
22/11/2025,17:03:15,bed to toilet,0.3871,0.1716,-0.1750,-0.1638,-32.6714,-3.8391,1.0266,0.6695,0.8375,113.1553,ESE
22/11/2025,17:03:16,bed to toilet,0.0000,0.0000,0.0000,-9.8980,-25.1583,-0.4661,1.0174,0.6823,0.8122,114.4946,ESE
22/11/2025,17:03:17,bed to toilet,0.0000,0.0000,0.0000,3.8612,-25.1233,2.9343,1.0542,0.6842,0.7773,110.5575,ESE
22/11/2025,17:03:18,bed to toilet,0.1652,0.0000,0.0000,-3.7111,-40.6957,3.4726,1.0231,0.6741,0.7856,117.8405,ESE
22/11/2025,17:03:19,bed to toilet,0.1831,0.0000,0.0000,-1.5079,-19.7168,-6.3315,1.0063,0.6755,0.8007,110.3457,ESE
22/11/2025,17:03:20,bed to toilet,0.0000,0.0000,0.0000,-16.0652,-28.2841,-1.1368,0.9969,0.6447,0.8096,113.4586,ESE
22/11/2025,17:03:21,bed to toilet,0.0000,0.0000,0.0000,-21.7063,-5.0988,-8.4920,1.0492,0.6458,0.8000,117.3143,ESE
22/11/2025,17:03:22,bed to toilet,0.0000,0.0000,0.0000,14.4628,-30.6681,24.5384,1.0154,0.6200,0.8057,115.8762,ESE
22/11/2025,17:03:23,bed to toilet,-0.1817,0.0000,0.0000,-6.2132,-21.7896,-3.4686,1.0313,0.6068,0.8129,112.6648,ESE
22/11/2025,17:03:24,bed to toilet,-0.0546,0.0000,0.0000,-10.0387,-27.6586,-13.2142,1.0391,0.6197,0.8029,113.2739,ESE
