Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:27:17,bed to toilet,0.0000,0.0000,0.0000,-2.2303,6.3211,-1.0171,1.0113,0.9797,1.0070,114.0042,ESE
22/11/2025,16:27:18,bed to toilet,0.0000,0.0000,0.0000,-1.8520,4.6208,-1.2749,1.0178,0.9777,1.0097,113.2607,ESE
22/11/2025,16:27:19,bed to toilet,0.0000,0.0000,0.0000,-1.7632,13.3387,-0.8242,1.0150,0.9595,1.0129,113.6765,ESE
22/11/2025,16:27:20,bed to toilet,0.0000,0.0000,0.0000,2.6634,-7.7680,1.3177,0.9879,0.9302,0.9901,111.0556,ESE
22/11/2025,16:27:21,bed to toilet,-0.1712,0.0000,0.0000,-10.6361,12.8958,-7.2039,0.9948,0.9342,0.9338,111.6524,ESE
22/11/2025,16:27:22,bed to toilet,-0.2877,0.2776,0.0000,9.0248,8.2233,8.2024,1.0175,0.8679,0.9693,113.1302,ESE
22/11/2025,16:27:23,bed to toilet,-0.2877,0.3225,0.0000,-3.8340,8.1925,0.2833,1.0151,0.8820,0.9437,111.5600,ESE
22/11/2025,16:27:24,bed to toilet,-0.0338,0.0474,0.0000,0.4772,4.7086,-5.1423,1.0294,0.8366,0.9661,110.2353,ESE
22/11/2025,16:27:25,bed to toilet,0.0000,0.0000,0.0000,6.7104,1.4197,3.0469,1.0121,0.8596,0.9590,111.5750,ESE
22/11/2025,16:27:26,bed to toilet,0.0000,0.0000,0.0000,-9.2139,24.6310,1.9738,1.0262,0.8508,0.9685,111.8086,ESE
22/11/2025,16:27:27,bed to toilet,0.0000,0.0000,0.0000,-35.2123,104.0616,23.9074,1.0312,0.7130,1.0678,110.3000,ESE
