Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:46:15,bed to toilet,0.0000,0.0000,0.0000,-17.7369,-13.2020,9.0551,0.9818,1.0143,1.0021,114.0250,ESE
22/11/2025,16:46:16,bed to toilet,0.0000,0.0000,0.0000,-15.4138,-8.4804,6.1737,0.9834,1.0179,1.0063,114.1437,ESE
22/11/2025,16:46:17,bed to toilet,0.0000,0.0000,0.0000,-14.2000,-2.0462,8.8830,0.9798,1.0071,1.0064,116.6029,ESE
22/11/2025,16:46:18,bed to toilet,0.0000,0.0000,0.0000,-9.0928,1.6705,2.5941,0.9370,0.9692,0.9899,107.6526,ESE
22/11/2025,16:46:19,bed to toilet,0.0000,0.0000,0.0000,-29.7653,10.8549,13.9830,0.9375,0.9172,1.0167,106.5900,ESE
22/11/2025,16:46:20,bed to toilet,0.0000,0.0000,0.2774,-14.8571,-5.1306,5.8115,0.9547,0.8936,0.9850,107.8972,ESE
22/11/2025,16:46:21,bed to toilet,0.0000,0.1783,0.2774,-7.8514,-6.5259,4.7799,0.9680,0.8758,0.9436,107.5135,ESE
22/11/2025,16:46:22,bed to toilet,0.0000,0.2898,0.3188,-20.7277,-4.4909,7.0674,0.9818,0.8960,0.9188,107.9769,ESE
22/11/2025,16:46:23,bed to toilet,0.0000,0.1723,0.2249,-15.6638,-2.9107,5.5662,0.9547,0.9259,0.9779,104.3405,ESE
22/11/2025,16:46:24,bed to toilet,0.0000,0.0000,0.2434,-20.3448,-11.9888,1.3794,0.9691,0.8676,0.9980,110.8265,ESE
22/11/2025,16:46:25,bed to toilet,0.0000,0.0000,0.1232,-15.9289,-2.4333,13.9618,0.9486,0.8774,1.0092,106.8258,ESE
22/11/2025,16:46:26,bed to toilet,0.0000,0.0000,0.0000,-9.2587,-9.4047,1.4098,0.9559,0.8261,0.9936,109.5029,ESE
22/11/2025,16:46:27,bed to toilet,0.0000,0.0000,0.1092,-25.2105,3.9798,5.3162,0.9485,0.7984,1.0029,107.8657,ESE
22/11/2025,16:46:28,bed to toilet,0.0000,0.0000,0.2248,-2.6903,-11.6154,7.2826,0.9543,0.7983,0.9980,106.1147,ESE
22/11/2025,16:46:29,bed to toilet,0.1143,0.0000,0.1852,-22.7332,6.3888,5.5105,0.9494,0.7819,1.0134,110.2146,ESE
22/11/2025,16:46:30,bed to toilet,0.1596,0.0000,0.2873,-10.8933,-10.2697,7.5066,0.9430,0.7959,1.0167,105.5632,ESE
22/11/2025,16:46:31,bed to toilet,0.0000,0.0000,0.0000,-21.4759,-16.8774,4.3958,0.9835,0.7885,1.0153,112.5778,ESE
22/11/2025,16:46:32,bed to toilet,0.0000,0.0000,0.0000,-13.5576,-14.4231,4.7764,0.9847,0.8797,0.9685,111.5111,ESE
22/11/2025,16:46:33,bed to toilet,0.0000,0.0000,0.0000,-7.6417,-13.1369,6.3395,0.9896,0.9222,0.9648,113.1111,ESE
