Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,20:07:12,bed to toilet,0.0000,0.0000,0.0000,-0.0272,-28.4126,0.2043,1.0112,1.0026,0.9848,115.6333,ESE
24/11/2025,20:07:13,bed to toilet,0.0000,0.0000,0.0000,-0.5342,-25.8517,-0.4145,0.9896,0.9996,0.9900,115.9759,ESE
24/11/2025,20:07:14,bed to toilet,0.0000,0.0000,0.0000,0.2396,-14.3738,1.7846,1.0070,0.9744,0.9930,116.6838,ESE
24/11/2025,20:07:15,bed to toilet,0.0000,0.0000,0.0000,-2.1464,-7.5536,4.7339,0.9920,0.8835,0.9848,113.3714,ESE
24/11/2025,20:07:16,bed to toilet,0.0000,0.3911,0.0000,-7.2776,-36.2644,-4.6873,1.0195,0.8904,0.9358,111.9265,ESE
24/11/2025,20:07:17,bed to toilet,0.0000,-0.0901,-0.1497,2.4431,-39.4664,-5.9592,0.9708,0.9386,0.9477,108.5925,ESE
24/11/2025,20:07:18,bed to toilet,0.0000,0.3150,0.3686,-10.7086,-27.7927,5.5437,0.9798,0.9039,0.9458,112.6675,ESE
24/11/2025,20:07:19,bed to toilet,0.0000,0.2874,0.3029,-2.2002,-14.5870,3.3308,1.0161,0.8262,0.9477,115.6048,ESE
24/11/2025,20:07:20,bed to toilet,0.0000,0.1980,0.2152,-3.0253,-27.8709,-4.7495,1.0130,0.8715,0.9473,115.2316,ESE
24/11/2025,20:07:21,bed to toilet,0.0000,0.0000,0.0000,5.1447,-49.8964,-1.1901,1.0031,0.9044,0.9454,115.8394,ESE
24/11/2025,20:07:22,bed to toilet,0.0000,0.0000,0.0000,-1.9068,25.4366,-6.3003,0.9888,0.9178,0.9394,114.7667,ESE
