Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:45:38,bed to toilet,0.0000,0.0000,0.0000,1.2555,-7.8389,4.0278,0.9872,0.8172,0.8784,113.8167,ESE
24/11/2025,19:45:39,bed to toilet,0.0000,0.0000,0.0000,0.2341,-5.3516,3.6558,0.9805,0.8213,0.8826,114.4205,ESE
24/11/2025,19:45:40,bed to toilet,0.0000,0.0000,0.0000,-0.2055,-3.2884,2.7588,0.9848,0.8262,0.8780,114.7054,ESE
24/11/2025,19:45:41,bed to toilet,0.0000,0.0000,0.0000,-0.8209,8.7348,1.6116,0.9890,0.7853,0.8712,111.5875,ESE
24/11/2025,19:45:42,bed to toilet,0.0000,0.0000,0.0000,-3.3546,-14.8020,2.4607,0.9794,0.7659,0.8642,112.4385,ESE
24/11/2025,19:45:43,bed to toilet,0.0000,0.0000,0.0000,2.1395,-3.2292,5.0214,0.9771,0.7698,0.8444,113.4784,ESE
24/11/2025,19:45:44,bed to toilet,0.0000,-0.2163,0.0000,-0.6503,24.2643,12.1047,0.9930,0.7671,0.8128,117.6244,ESE
24/11/2025,19:45:45,bed to toilet,0.0455,-0.0524,0.0000,-7.4416,-5.7317,6.7933,0.9984,0.7461,0.8227,111.6098,ESE
24/11/2025,19:45:46,bed to toilet,-0.0571,0.1279,0.2405,-1.7295,-23.4957,-4.6973,1.0129,0.6793,0.8395,114.2800,ESE
24/11/2025,19:45:47,bed to toilet,-0.1597,0.1535,0.1879,-3.2027,16.7257,7.2497,1.0283,0.6857,0.8351,118.2725,ESE
24/11/2025,19:45:48,bed to toilet,0.0000,0.2566,0.0000,5.1093,-22.5166,-1.1392,0.9933,0.6853,0.8485,112.9842,ESE
24/11/2025,19:45:49,bed to toilet,0.1640,-0.0886,-0.0042,1.8676,3.1274,-22.1498,1.0187,0.6939,0.8422,106.4047,ESE
24/11/2025,19:45:50,bed to toilet,0.2612,-0.3372,-0.2747,-0.7613,-10.7953,23.1205,1.0041,0.6848,0.8417,105.0184,ESE
