Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:53:03,bed to toilet,0.0000,0.0000,0.0000,12.3398,-3.2968,-0.2006,1.0103,0.9792,0.9828,115.1885,ESE
24/11/2025,19:53:04,bed to toilet,0.0000,0.0000,0.0000,12.7862,-0.0458,3.0321,0.9888,1.0104,0.9846,115.2515,ESE
24/11/2025,19:53:05,bed to toilet,0.0000,0.0000,0.0000,7.0164,32.4392,-0.7275,1.0007,0.9733,0.9832,115.3688,ESE
24/11/2025,19:53:06,bed to toilet,0.0000,0.0000,0.0000,14.2737,-18.6424,1.4788,0.9947,0.8723,0.9688,104.0735,ESE
24/11/2025,19:53:07,bed to toilet,0.0000,0.2355,0.0000,10.9346,-9.2122,2.5607,1.0123,0.9162,0.9298,105.7000,ESE
24/11/2025,19:53:08,bed to toilet,0.0000,0.2027,0.0000,15.7665,35.3050,10.9541,1.0056,1.0123,0.9395,110.9813,ESE
24/11/2025,19:53:09,bed to toilet,-0.1952,0.2437,0.0000,13.4701,6.5784,2.0657,0.9333,0.8985,0.9431,107.5500,ESE
24/11/2025,19:53:10,bed to toilet,-0.2510,0.2342,0.0000,10.6064,8.8038,9.7319,1.0065,0.8334,0.9634,108.3420,ESE
24/11/2025,19:53:11,bed to toilet,0.0000,0.0000,0.0000,11.5235,22.9177,2.2926,1.0020,0.8287,0.9643,112.3182,ESE
24/11/2025,19:53:12,bed to toilet,0.0000,0.0000,0.0000,16.3763,-19.8540,4.8132,1.0119,0.8659,0.9538,107.3500,ESE
24/11/2025,19:53:13,bed to toilet,0.0000,0.0000,0.0000,4.9751,1.9170,8.8163,0.9888,0.9079,0.9385,108.9000,ESE
