Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,20:00:45,bed to toilet,0.0000,0.0000,0.0000,10.2988,4.7150,-5.4961,1.0112,1.0471,1.0152,116.4250,ESE
24/11/2025,20:00:46,bed to toilet,0.0000,0.0000,0.0000,9.2877,-1.3943,-3.0664,1.0042,1.0572,1.0171,117.0156,ESE
24/11/2025,20:00:47,bed to toilet,0.0000,0.0000,0.0000,8.2810,6.8624,-4.3849,1.0167,1.0586,1.0168,117.2973,ESE
24/11/2025,20:00:48,bed to toilet,0.0000,0.0000,0.0000,5.4350,3.9733,-0.0226,1.0170,1.0110,0.9938,118.9487,ESE
24/11/2025,20:00:49,bed to toilet,0.0000,0.0000,0.0000,10.1009,2.0160,-8.9960,0.9997,0.9303,0.9784,110.6789,ESE
24/11/2025,20:00:50,bed to toilet,0.0000,0.2265,0.0000,3.6161,10.6019,3.9972,0.9986,0.9283,0.9367,118.4625,ESE
24/11/2025,20:00:51,bed to toilet,0.0000,0.3175,0.0000,14.1944,-10.8816,-1.1854,1.0151,0.9395,0.9323,110.6585,ESE
24/11/2025,20:00:52,bed to toilet,0.0000,-0.1482,0.0000,5.5355,1.0835,2.3355,1.0134,0.8297,0.9629,119.1778,ESE
24/11/2025,20:00:53,bed to toilet,0.0000,0.2642,0.0000,9.6029,-10.4434,0.4223,1.0056,0.9614,0.9302,110.8158,ESE
24/11/2025,20:00:54,bed to toilet,0.1716,0.2753,0.1262,5.2342,0.0040,-19.8704,1.0225,0.8757,0.9372,123.9000,SE (ตอ.เฉียงใต้)
24/11/2025,20:00:55,bed to toilet,0.3003,0.3047,0.3294,14.9407,4.9469,-3.9836,1.0062,0.9079,0.9425,111.1151,ESE
24/11/2025,20:00:56,bed to toilet,0.1106,0.1165,0.1292,5.0819,-7.2601,-1.4727,1.0030,0.8626,0.9574,115.2877,ESE
24/11/2025,20:00:57,bed to toilet,0.0000,0.0000,0.0000,9.3763,1.6525,-5.5681,0.9926,0.8754,0.9480,112.9023,ESE
24/11/2025,20:00:58,bed to toilet,0.0000,0.0000,0.0000,9.2229,-1.2346,-0.5131,0.9888,0.8831,0.9343,111.9000,ESE
